#,Actor,Alcance,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero
131.0,"CAF Género, Inclusión y Diversidad",Regional Latinoamérica," Género, inclusión y equidad","Área especializada de CAF orientada a promover la inclusión, la equidad y la diversidad en proyectos de desarrollo. Su participación contribuye a fortalecer la incorporación de enfoques de género y transición justa dentro de las iniciativas de modernización y reconversión de flotas.",Mantener satisfecho,6.0,"La entidad promueve el enfoque de inclusión transversal en proyectos de desarrollo. El retrofit puede constituir una oportunidad relevante, pero no representa un tema prioritario en sí mismo.",7.0,"Posee capacidad para incorporar criterios de inclusión, diversidad y equidad en operaciones financiadas por CAF, pudiendo influir en el diseño de programas regionales asociados a movilidad sostenible y retrofit.",,,,,,,10.0,"Es una unidad especializada con capacidad para incorporar criterios de género, inclusión y diversidad dentro de operaciones financiadas por CAF, así como desarrollar metodologías, indicadores y lineamientos aplicables a proyectos de infraestructura, energía y movilidad sostenible."
132.0,Universidad de los Andes - Programa de Género y Transporte,Colombia, Academia e investigación,"Programa académico especializado en el análisis de las relaciones entre movilidad, transporte y género. Su participación es relevante para generar evidencia, aportar investigación aplicada y desarrollar recomendaciones que permitan incorporar enfoques inclusivos en la implementación de programas de retrofit vehicular.",Mantener satisfecho,7.0,Existe una relación directa entre sus líneas de investigación y los impactos sociales que podría generar la transformación tecnológica del transporte con enfoque de género.,4.0,"Puede influir mediante investigación, generación de evidencia y recomendaciones de política pública, aunque no cuenta con capacidad directa para modificar regulaciones o decisiones de inversión.",,,,,,,9.0,"Es uno de los pocos espacios académicos especializados en la intersección entre movilidad, transporte y género en la región. Puede aportar investigación aplicada, generación de evidencia y recomendaciones para la formulación de políticas inclusivas."
133.0,Universidad Nacional de Colombia,Colombia, Academia e investigación,"Institución académica líder en investigación y formación superior con experiencia en ingeniería, energía, transporte y sostenibilidad. Su participación es relevante para aportar capacidades de análisis técnico, investigación aplicada y generación de conocimiento sobre tecnologías de retrofit y movilidad sostenible.",Hacer seguimiento,4.0,"Puede participar mediante investigación, desarrollo tecnológico y generación de conocimiento, aunque el retrofit constituye solamente uno de múltiples temas académicos de interés.",4.0,"Tiene capacidad para generar investigación aplicada, formar talento y apoyar procesos de innovación tecnológica, pero su influencia sobre el mercado retrofit es principalmente indirecta.",,,,,,,6.0,"Puede contribuir mediante investigación, formación de talento, desarrollo de conocimiento y generación de evidencia sobre brechas de género en sectores asociados a energía, industria y movilidad."
134.0,Universidad Nacional Autónoma de México (UNAM),México, Academia e investigación,"Una de las principales instituciones académicas de México con capacidades en investigación, innovación y desarrollo tecnológico. Su participación permite aportar evidencia científica, evaluación de tecnologías y conocimiento especializado aplicable a procesos de reconversión vehicular y electrificación del transporte.",Hacer seguimiento,4.0,"El retrofit representa una posible línea de investigación y análisis, pero no constituye una prioridad institucional específica dentro de la amplia agenda académica de la universidad.",4.0,"Puede contribuir con investigación, análisis técnico y generación de conocimiento especializado, aunque carece de capacidad para influir directamente sobre decisiones regulatorias o de mercado.",,,,,,,7.0,"Como una de las principales universidades de América Latina posee capacidad para desarrollar investigación, formación especializada y producción de conocimiento en temas de género, movilidad y sostenibilidad."
135.0,Pontificia Universidad Católica de Chile,Chile, Academia e investigación,"Institución académica reconocida por su investigación en sostenibilidad, energía y transporte. Su participación es relevante para generar conocimiento técnico, evaluar impactos y apoyar la formulación de estrategias relacionadas con retrofit vehicular y movilidad sostenible.",Hacer seguimiento,4.0,"Puede aportar capacidades de investigación y análisis técnico, aunque el retrofit no representa actualmente un área central de trabajo institucional.",4.0,"Aporta capacidades académicas y de investigación que pueden apoyar el desarrollo del retrofit, pero su capacidad de incidencia sobre el sector es principalmente consultiva.",,,,,,,6.0,"Puede apoyar procesos de investigación, formación y generación de evidencia para fortalecer la inclusión y participación femenina en sectores vinculados a transición energética y movilidad sostenible."
136.0,Pontificia Universidad Católica del Perú,Perú, Academia e investigación,"Universidad líder en investigación y formación profesional en Perú con experiencia en transporte, energía y sostenibilidad. Su participación permite fortalecer la base técnica de la hoja de ruta mediante estudios, análisis y generación de evidencia aplicada al sector de movilidad.",Hacer seguimiento,4.0,"La institución puede contribuir mediante investigación aplicada y generación de conocimiento, pero mantiene un interés principalmente académico e indirecto respecto al retrofit.",4.0,"Puede contribuir a la formación de capacidades y generación de conocimiento técnico, aunque no cuenta con influencia significativa sobre las decisiones estructurales del mercado.",,,,,,,6.0,"Dispone de capacidades académicas para aportar conocimiento, investigación y formación relacionada con brechas de género, inclusión y desarrollo sostenible."
137.0,Vital Strategies,Regional Latinoamérica, Sociedad civil y think tanks,"Organización internacional especializada en salud pública, seguridad vial y promoción de ciudades sostenibles. Su participación es relevante para aportar experiencias sobre reducción de emisiones, calidad del aire y beneficios sociales asociados a la modernización tecnológica del transporte público.",Hacer seguimiento,4.0,"La organización tiene interés en iniciativas que mejoren la salud pública, reduzcan emisiones y promuevan ciudades sostenibles, aunque el retrofit constituye solo una de múltiples herramientas posibles.",4.0,"Posee capacidad para generar evidencia y apoyar iniciativas relacionadas con salud pública, calidad del aire y movilidad sostenible, aunque su influencia sobre el retrofit es indirecta.",,,,,,,8.0,"La organización trabaja en temas de salud pública, movilidad urbana y desarrollo sostenible, incorporando frecuentemente enfoques de equidad e inclusión en el diseño de intervenciones y recomendaciones de política pública."
138.0,Despacio,Colombia, Sociedad civil y think tanks,"Centro de pensamiento colombiano especializado en movilidad sostenible, desarrollo urbano y políticas públicas. Su participación es relevante para aportar análisis técnico, experiencias regionales y capacidades de articulación asociadas al desarrollo de soluciones de transporte bajo en emisiones.",Mantener satisfecho,7.0,"Su trabajo está estrechamente relacionado con movilidad sostenible, transporte urbano y políticas públicas, lo que genera un interés relevante en soluciones que contribuyan a la transformación del sector.",4.0,"Es un actor reconocido en movilidad sostenible y políticas urbanas, con capacidad para influir en debates técnicos y apoyar procesos de articulación, pero sin atribuciones regulatorias o financieras relevantes.",,,,,,,9.0,"Ha desarrollado múltiples iniciativas relacionadas con movilidad sostenible, accesibilidad, inclusión y enfoque de género en ciudades latinoamericanas, convirtiéndose en un actor técnico relevante para impulsar esta agenda."
139.0,WRI Ross Center for Sustainable Cities,Regional Latinoamérica, Sociedad civil y think tanks,"Centro internacional especializado en ciudades sostenibles, movilidad urbana y acción climática. Su participación aporta conocimiento técnico, experiencias internacionales y metodologías para el diseño e implementación de estrategias de movilidad sostenible y retrofit vehicular.",Mantener satisfecho,7.0,Promueve activamente soluciones de movilidad sostenible y descarbonización urbana. El retrofit puede convertirse en una herramienta complementaria para alcanzar estos objetivos.,6.0,"Posee reconocimiento internacional y capacidad para influir en agendas de movilidad sostenible mediante asistencia técnica, investigación aplicada y apoyo a gobiernos y operadores.",,,,,,,10.0,"Es uno de los referentes globales en movilidad sostenible e inclusión urbana. Ha desarrollado investigaciones, metodologías y programas específicos para incorporar el enfoque de género en sistemas de transporte y planificación urbana."
140.0,ITDP,Regional Latinoamérica, Sociedad civil y think tanks,"Organización internacional especializada en transporte y desarrollo sostenible. Su participación es relevante para aportar investigaciones, buenas prácticas y experiencias de implementación relacionadas con electrificación de flotas, movilidad urbana y transformación de sistemas de transporte público.",Mantener satisfecho,7.0,La organización impulsa mejoras en transporte público y movilidad sostenible. Tiene interés en cualquier solución que contribuya a reducir emisiones y mejorar el desempeño de las flotas urbanas.,6.0,"Cuenta con amplia experiencia y capacidad de incidencia en políticas de transporte sostenible, generando recomendaciones técnicas y acompañamiento a entidades públicas y sistemas de transporte.",,,,,,,10.0,"Es una de las organizaciones más influyentes en movilidad sostenible con amplia experiencia en seguridad de las mujeres, accesibilidad, transporte inclusivo y desarrollo de metodologías para incorporar enfoque de género en sistemas de movilidad."
141.0,Transformative Urban Mobility Initiative (TUMI),Regional Latinoamérica, Sociedad civil y think tanks,"Iniciativa internacional dedicada a impulsar la transformación sostenible de los sistemas de movilidad urbana mediante asistencia técnica, fortalecimiento institucional y desarrollo de capacidades. Su participación es relevante para aportar experiencias internacionales, metodologías, buenas prácticas y mecanismos de cooperación que faciliten la implementación de estrategias de retrofit vehicular, electrificación de flotas y movilidad inclusiva en ciudades de América Latina.",Mantener satisfecho,7.0,"La iniciativa está específicamente orientada a promover transformaciones sostenibles en los sistemas de movilidad urbana. El retrofit puede convertirse en una herramienta relevante para acelerar la descarbonización del transporte público, especialmente en ciudades con limitaciones para renovar flotas mediante vehículos nuevos.",6.0,"Puede influir mediante cooperación técnica, fortalecimiento institucional y difusión de buenas prácticas internacionales relacionadas con movilidad sostenible y transformación tecnológica del transporte.",,,,,,,10.0,"La iniciativa ha promovido activamente programas de inclusión, liderazgo femenino y fortalecimiento de capacidades para mujeres en el sector transporte, posicionándose como uno de los referentes internacionales en movilidad y género."
